District,Division,Area,ProgramYear,Month,AsOfDate,ClubNumber,ClubName,ClubStatus,BaseMembers,ActiveMembers,GoalsMet,CCs,CCsAdd,ACs,ACsAdd,Ldr,LdrsAdd,Level1s,Level2s,Level2sAdd,Level3s,Level45DTMs,Level45DTMsAdd,NewMembers,AddNewMembers,OfficersTrainedRd1,OfficersTrainedRd2,MembersDuesOnTimeOct,MembersDuesOnTimeApr,OfficerListOnTime,Goal10Met,DistinguishedStatus,MembersGrowth,AwardsPerMember,DCPEligibility,MonthlyGrowth,30SeptMembers,31MarMembers,Region,NovADVisit,MarADVisit
91,B,53,2014,7,2014-08-07,01270293,LBM Speakers (staff only),Active,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,00009834,Guildford Speaker's Club,Active,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,true,false,,1,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,00886002,Woking Speakers Toastmasters Club,Active,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,00961893,Camberley Speakers,Active,28,30,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,false,false,true,false,,2,0.07,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,01500528,Farnham Speakers Club,Active,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,02673910,Fluor Farnborough Speakers,Active,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,00004827,Chiltern Speakers Club,Active,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,00005461,Maidenhead Speakers Club,Active,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,00758236,Windsor Speakers Club,Active,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,01937571,FM Global Communicators,Active,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,03124015,Wokingham Speakers,Active,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,32,2014,7,2014-08-07,00005774,Solent Speakers Club,Active,20,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.05,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,32,2014,7,2014-08-07,00007298,Arun Speakers,Active,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,32,2014,7,2014-08-07,01321786,County Communicators,Active,22,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.05,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,32,2014,7,2014-08-07,01503299,Worthing Speaker's Club,Active,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,32,2014,7,2014-08-07,02685904,Spinnaker Speakers,Active,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,37,2014,7,2014-08-07,00009934,Kent Speakers Club,Active,11,11,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,false,false,false,false,,0,0.18,false,XXX,XXX,XXX,XXX,XXX,XXX
91,H,37,2014,7,2014-08-07,00710647,Canterbury Communicators Club,Active,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,37,2014,7,2014-08-07,00782690,Toasted Sandwich Toastmasters Club,Active,24,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.04,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,55,2014,7,2014-08-07,00005439,Brighton & Hove Speakers Toastmasters Club,Active,43,44,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,false,false,true,false,,1,0.05,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,55,2014,7,2014-08-07,00739066,Tunbridge Wells Speakers Club,Active,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,H,55,2014,7,2014-08-07,00941371,Eastbourne Speakers Club,Active,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,55,2014,7,2014-08-07,01240705,Battle Speakers Club,Active,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,55,2014,7,2014-08-07,02798330,Lewes Speakers Club,Active,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,04,2014,7,2014-08-07,00000309,Thame Speakers Club,Active,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,04,2014,7,2014-08-07,00000762,Aylesbury Speakers,Active,23,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,true,false,,0,0.04,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,04,2014,7,2014-08-07,00004410,Leighton Buzzard Better Speakers Club,Active,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,J,04,2014,7,2014-08-07,01053038,Berkhamsted Speakers Club,Active,30,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,false,false,true,false,,0,0.05,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,04,2014,7,2014-08-07,01535757,Swan Speakers,Active,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,J,07,2014,7,2014-08-07,00003297,Oxford Speakers Club,Active,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,07,2014,7,2014-08-07,00004166,Bardwell Speakers Club,Active,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,J,07,2014,7,2014-08-07,00005503,Bicester Achievers Toastmasters Club,Active,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,07,2014,7,2014-08-07,00006874,Abingdon Speakers Toastmasters Club,Active,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,false,false,true,false,,1,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,07,2014,7,2014-08-07,01045890,Isis Speakers Club,Active,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,J,22,2014,7,2014-08-07,00002965,Newbury Speakers Club,Active,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,22,2014,7,2014-08-07,00005161,"Thamesdown Speakers Club ",Active,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,false,false,true,false,,1,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,22,2014,7,2014-08-07,01098583,Vodafone Speakers Club,Active,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,J,22,2014,7,2014-08-07,01182918,Cheltenham Speakers,Active,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,22,2014,7,2014-08-07,03105854,Malvern Speakers,Active,30,30,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,false,false,true,false,,0,0.03,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,42,2014,7,2014-08-07,00000742,Hallmark Speakers,Active,32,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.03,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,42,2014,7,2014-08-07,00595108,Chaseside Speakers Toastmasters Club,Active,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,42,2014,7,2014-08-07,01163131,Casterbridge Speakers,Active,25,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,false,false,true,false,,0,0.04,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,42,2014,7,2014-08-07,01768164,Ferndown Speakers,Active,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,J,46,2014,7,2014-08-07,00008471,"Reading Speakers Club ",Active,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,46,2014,7,2014-08-07,00009090,Wessex Speakers Club,Active,29,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,false,false,true,false,,1,0.03,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,46,2014,7,2014-08-07,01279299,Hamwic Speakers,Active,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,46,2014,7,2014-08-07,01348895,Toastmasters@Microsoft UK,Active,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,46,2014,7,2014-08-07,03599330,Basingstoke Speakers,Active,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,true,false,,20,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,62,2014,7,2014-08-07,00008580,Northavon Speakers Toastmasters Club,Active,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,62,2014,7,2014-08-07,00907029,South West Speakers,Active,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,62,2014,7,2014-08-07,01014712,Voice of Wales,Active,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,62,2014,7,2014-08-07,01249064,Armada Speakers,Active,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,J,62,2014,7,2014-08-07,02205990,Cardiff Toastmasters,Active,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,31,2014,7,2014-08-07,00002656,Speakeasy@Credit Suisse,Active,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,31,2014,7,2014-08-07,00008923,Women In Banking And Finance Club,Active,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,4,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,31,2014,7,2014-08-07,00778270,Canary Wharf Communicators Club,Active,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,31,2014,7,2014-08-07,02130480,State Street London Speakers,Active,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,K,31,2014,7,2014-08-07,02269349,Russian English Speakers,Active,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,35,2014,7,2014-08-07,00008959,Bromley Speakers,Active,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,35,2014,7,2014-08-07,00625647,The Speakers of Croydon Club,Active,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,true,false,,1,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,35,2014,7,2014-08-07,00840230,Croydon Communicators Club,Active,30,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.04,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,35,2014,7,2014-08-07,01638915,Purley Speakers,Active,20,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,1,0.05,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,35,2014,7,2014-08-07,03518670,T&O Toastmasters,Active,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,20,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,58,2014,7,2014-08-07,00002027,City of London Toastmasters Club,Active,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,58,2014,7,2014-08-07,00005964,Broadgate Speakers in the City,Active,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,58,2014,7,2014-08-07,00760422,MLP London Bridge Speakers,Active,45,45,4,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.11,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,58,2014,7,2014-08-07,01376237,1st London Toastmasters,Active,80,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,58,2014,7,2014-08-07,01492774,Woodford Green Speakers,Active,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,K,58,2014,7,2014-08-07,03808273,PMI UK Toastmasters Club,Active,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,20,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,59,2014,7,2014-08-07,00589935,Citi Criers Club,Active,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,59,2014,7,2014-08-07,00762850,Meridian Speakers Club,Active,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,59,2014,7,2014-08-07,01246707,Lewisham Speakers Club,Active,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,59,2014,7,2014-08-07,01352811,Speakers Corner,Active,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,K,59,2014,7,2014-08-07,02540540,London Trustmasters,Active,20,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.05,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,33,2014,7,2014-08-07,00007989,St Pauls Speakers,Active,32,32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.03,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,33,2014,7,2014-08-07,01182993,Cass Toastmasters,Active,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,33,2014,7,2014-08-07,01414048,ACCAmembers Breakfast Club,Active,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,L,33,2014,7,2014-08-07,02684362,Experience French,Active,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,33,2014,7,2014-08-07,03025177,BAML London Toastmasters,Active,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,false,false,true,false,,1,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,34,2014,7,2014-08-07,00003149,Holborn Speakers,Active,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,34,2014,7,2014-08-07,00005257,Tube Talk Toastmasters,Active,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,34,2014,7,2014-08-07,01417626,Bloomsbury Speakers,Active,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,34,2014,7,2014-08-07,02078451,Society Speakers,Active,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,34,2014,7,2014-08-07,03255072,Clerkenwell Speakers,Active,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,false,false,true,false,,1,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,34,2014,7,2014-08-07,03410669,R/GA London Toastmasters,Active,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,23,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,47,2014,7,2014-08-07,00000501,London Communicators Club,Active,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,47,2014,7,2014-08-07,00004824,London Business School Public Speaking Club,Active,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,47,2014,7,2014-08-07,00647094,Northern Lights Speakers Club,Active,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,47,2014,7,2014-08-07,01407974,Angel Speakers,Active,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,L,56,2014,7,2014-08-07,00893055,WIBF Speakers-City Club,Active,29,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0.04,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,56,2014,7,2014-08-07,01107650,NZICA Bank Speakers,Active,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,56,2014,7,2014-08-07,01555042,Riverbank Speakers,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,L,56,2014,7,2014-08-07,01811645,London Public Speakers,Active,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,56,2014,7,2014-08-07,02271336,BlackRock Speaks,Active,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,56,2014,7,2014-08-07,03203838,Loquacious Londoners,Active,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,61,2014,7,2014-08-07,00002326,HOD Speakers Club,Active,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,61,2014,7,2014-08-07,00007749,Harrovians Speakers Toastmasters,Active,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,61,2014,7,2014-08-07,01139794,Watford Speakers,Active,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,L,61,2014,7,2014-08-07,02445595,Croxley Communicators,Active,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
